"haplotype","lineage","genus","informative_length","is_partial"
1,"H_ACAED01","Haemoproteus",305,TRUE
1,"H_ACDUM3","Haemoproteus",479,FALSE
2,"H_AECA01","Haemoproteus",479,FALSE
2,"H_FIZAN01","Haemoproteus",326,TRUE
3,"H_AEFUN03","Haemoproteus",479,FALSE
3,"H_GLACUC01","Haemoproteus",304,TRUE
4,"H_ALCPOI02","Haemoproteus",479,FALSE
4,"H_ALMOR06","Haemoproteus",326,TRUE
5,"H_ANACRE01","Haemoproteus",479,FALSE
5,"H_TUSW06","Haemoproteus",423,TRUE
6,"H_ANIFLA01","Haemoproteus",477,TRUE
6,"H_ANSOM01_Haemoproteus_coatneyi","Haemoproteus",452,TRUE
7,"H_ARGCAU1","Haemoproteus",479,FALSE
7,"H_TURGUL01","Haemoproteus",249,TRUE
8,"H_BLUTI09","Haemoproteus",478,TRUE
8,"H_LARSCO01","Haemoproteus",286,TRUE
9,"H_BNOW03","Haemoproteus",479,FALSE
9,"H_FASPA01","Haemoproteus",361,TRUE
10,"H_BUBBUB02","Haemoproteus",479,FALSE
10,"H_NINOX06","Haemoproteus",449,TRUE
11,"H_CARCAN02","Haemoproteus",479,FALSE
11,"H_SETCER03","Haemoproteus",479,FALSE
12,"H_ADEMEL01","Haemoproteus",456,TRUE
12,"H_CATUST22","Haemoproteus",478,TRUE
13,"H_CHRRID01","Haemoproteus",479,FALSE
13,"H_LARCAC01","Haemoproteus",199,TRUE
14,"H_CINSOV01","Haemoproteus",479,FALSE
14,"H_NENOT04","Haemoproteus",464,TRUE
15,"H_COBRA01","Haemoproteus",479,FALSE
15,"H_NECASP01","Haemoproteus",249,TRUE
16,"H_COFLA02","Haemoproteus",262,TRUE
16,"H_COFLA06","Haemoproteus",479,FALSE
17,"H_COFLA08","Haemoproteus",479,FALSE
17,"H_COFLA13","Haemoproteus",478,TRUE
18,"H_COFLA05","Haemoproteus",466,TRUE
18,"H_COFLA14","Haemoproteus",479,FALSE
19,"H_COLPAS01","Haemoproteus",305,TRUE
19,"H_COLPAS03_Haemoproteus_paramultipigmentatus","Haemoproteus",479,FALSE
20,"H_COLTAL01_Haemoproteus_multipigmentatus","Haemoproteus",479,FALSE
20,"H_ZEGAL04","Haemoproteus",347,TRUE
21,"H_COLPIC01","Haemoproteus",439,TRUE
21,"H_COPIC01","Haemoproteus",479,FALSE
22,"H_COLSQU01","Haemoproteus",347,TRUE
22,"H_COSQU04","Haemoproteus",479,FALSE
23,"H_ASOT03","Haemoproteus",282,TRUE
23,"H_CULPIC02","Haemoproteus",479,FALSE
24,"H_COCOR01_Haemoproteus_danilewskyii","Haemoproteus",361,TRUE
24,"H_CXPIP27","Haemoproteus",479,FALSE
25,"H_CYACAE08","Haemoproteus",478,TRUE
25,"H_CYACAE09","Haemoproteus",478,TRUE
26,"H_COBRA14","Haemoproteus",478,TRUE
26,"H_CYACRI01","Haemoproteus",479,FALSE
27,"H_CYAOLI03_Haemoproteus_cyanomitrae","Haemoproteus",479,FALSE
27,"H_NEOBS03","Haemoproteus",244,TRUE
28,"H_CYAOLI05_Haemoproteus_cyanomitrae","Haemoproteus",479,FALSE
28,"H_NEOBS04","Haemoproteus",244,TRUE
29,"H_DACGAU01","Haemoproteus",479,FALSE
29,"H_TANGAL02","Haemoproteus",477,TRUE
30,"H_DENADE01","Haemoproteus",479,FALSE
30,"H_SERUT05","Haemoproteus",285,TRUE
31,"H_DENCOR03","Haemoproteus",479,FALSE
31,"H_TABI05","Haemoproteus",285,TRUE
32,"H_DENCOR01_Haemoproteus_coatneyi","Haemoproteus",361,TRUE
32,"H_DENPEN02","Haemoproteus",478,TRUE
33,"H_DICADS01","Haemoproteus",460,TRUE
33,"H_DICLEU01","Haemoproteus",305,TRUE
34,"H_DICBAL02","Haemoproteus",464,TRUE
34,"H_DICBAL06","Haemoproteus",458,TRUE
35,"H_DICBAL01","Haemoproteus",463,TRUE
35,"H_DICBAL04","Haemoproteus",464,TRUE
